symbol,ts_signal,ts_entry,entry_price,entry_atr,ret_1,ret_3,ret_6,ret_12,ret_18,ret_24,atr_12,atr_pct_12,vwap_session,vwap_dist,vwap_dist_atr,vol_ratio_18,range_pct,body_pct,upper_wick_pct,lower_wick_pct,rv_12,tod_sin,tod_cos,best_param_id,best_R,best_exit_reason,best_exit_price,best_exit_ts,best_stop_atr,best_target_atr,best_hold_bars,fixed_R,fixed_exit_price,fixed_exit_reason,side,split
COIN,2024-03-11 13:35:00,2024-03-11 13:40:00,268.185,3.1633416666666627,0.01482393297932392,0.046068668832711525,0.05068580737113985,0.04782692821861159,0.047240498192227164,0.0511173068384606,2.7825083333333276,0.010373320359731607,265.955662221258,0.008504933244638135,0.8198853356205597,3.062628398343798,0.019124878372484017,0.015795732878014678,0.000421269250699939,0.0029078762437694003,0.009261780170504748,0.08046656871672588,0.99675730813421,S0.5_T0.75_H3,-0.9999999999999836,STOP,266.6033291666667,2024-03-11 09:40:00-04:00,0.5,0.75,3,-1.0000000000000075,265.81249375,STOP,LONG,train
NVDA,2024-03-11 13:35:00,2024-03-11 13:40:00,871.2865,10.529791666666682,0.027939751211127923,-0.00779592892398469,-0.012158828533328454,-0.012634867894904561,-0.019281361743472558,-0.013937150470397458,10.000466666666691,0.011476189929730771,858.6286201929566,0.014667469741044195,1.2780783370486002,2.1176538152767455,0.03282025682514538,0.028012072388427914,0.0026278101008709895,0.0021803743358464757,0.013330773751712115,0.08046656871672588,0.99675730813421,S0.5_T0.75_H3,-0.9999999999999919,STOP,866.0216041666667,2024-03-11 09:40:00-04:00,0.5,0.75,3,-0.9999999999999991,863.38915625,STOP,LONG,train
OKLO,2024-03-12 16:25:00,2024-03-12 16:30:00,10.785,0.011250000000000723,0.0013898542890542977,0.0,0.0,0.0,0.0018535686493230564,0.0009263548601308826,0.011250000000000723,0.0010416666666667334,10.797541808190774,0.00022761035270620528,0.21850593859794304,1.568914609661037,0.0013888888888889414,0.0,0.0,0.0013888888888889414,0.0008144112874931072,0.3166679938014725,-0.9485364419471455,S0.5_T2.0_H24,3.9999999999998948,TARGET,10.807500000000001,2024-03-12 13:55:00-04:00,0.5,2.0,24,1.3333333333332982,10.79625,TARGET,LONG,train
OKLO,2024-03-12 19:15:00,2024-03-12 19:20:00,10.81,0.020983333333333725,0.0009254975209429712,0.0009254975209429712,0.0,0.0018518523810737264,0.0009254975209429712,0.0009254975209429712,0.017691666666667032,0.001636601911810086,10.80218194776592,0.0007232240734579553,0.44190591996685835,3.248480243161094,0.001850138760406991,0.0009250693802034955,0.0009250693802034955,0.0,0.0013311947263759628,-0.6631226582407955,0.7485107481711007,S0.5_T0.75_H3,-0.9999999999999929,STOP,10.799508333333334,2024-03-12 15:20:00-04:00,0.5,0.75,3,-0.9999999999999929,10.7942625,STOP,LONG,train
PLTR,2024-03-13 13:30:00,2024-03-13 13:35:00,24.905,0.11000833333333244,0.008867011456915742,0.004220069060991696,0.0013779114572295076,0.010484357538401816,0.01700452715757014,0.02027243040913509,0.101674999999999,0.00408171048458641,24.806633333333338,0.004145607435865372,1.0156544545528778,1.9116259092192485,0.012444851243882903,0.00842636863255176,4.014468143178694e-06,0.004014468143187964,0.003250644073747771,0.0,1.0,S1.0_T1.0_H3,1.0000000000000053,TARGET,25.015008333333334,2024-03-13 09:40:00-04:00,1.0,1.0,3,-0.9999999999999839,24.822493750000003,STOP,LONG,train
TSLA,2024-03-13 13:45:00,2024-03-13 13:50:00,174.27,1.1474583333333328,0.006274304652895696,-0.004831369734901487,-0.02089679128365074,-0.02471080678824216,-0.026891710770242074,-0.0246828155774806,1.0941250000000007,0.006278332472599992,174.2150213524108,0.0003154797015506015,0.05024896386539316,2.0028298776016418,0.009554140127388653,0.006197280082630472,0.0019796866930624824,0.0013771733516956969,0.0047454613008121845,0.23931566428755777,0.970941817426052,S0.5_T0.75_H3,-0.9999999999999752,STOP,173.69627083333336,2024-03-13 09:55:00-04:00,0.5,0.75,3,-0.9999999999999918,173.40940625000002,STOP,LONG,train
OKLO,2024-03-13 14:00:00,2024-03-13 14:10:00,10.7601,0.01910833333333395,0.0018535686493230564,0.0009263548601308826,0.0009263548601308826,0.0,0.0,0.0009263548601308826,0.017450000000000482,0.0016157407407407854,10.793549269967182,0.0005972898178536252,0.3696693428549555,3.1045933909402166,0.0009259259259260706,0.0,0.0,0.0009259259259260706,0.0013116125822590595,0.46472317204376856,0.8854560256532099,S0.5_T2.0_H6,4.000000000000093,TARGET,10.798316666666668,2024-03-13 14:00:00-04:00,0.5,2.0,6,1.3333333333333024,10.779208333333333,TARGET,LONG,train
NVDA,2024-03-13 17:00:00,2024-03-13 17:05:00,896.18,2.744441666666669,0.002962302700013525,0.005764995117587337,0.00705687610721468,0.003970367301508223,0.006854558445316767,0.0021677681603107326,2.6624583333333383,0.0029718253525319103,893.634640665865,0.0025285850364269763,0.8508525019051655,1.6637795176224224,0.005089853778323539,0.0030027904900100507,0.0019086951668713433,0.00017836812144214574,0.001404362525592197,-0.23931566428755743,-0.9709418174260521,S0.5_T2.0_H6,3.9999999999999862,TARGET,901.6688833333333,2024-03-13 13:25:00-04:00,0.5,2.0,6,1.3333333333333564,898.9244416666667,TARGET,LONG,train
OKLO,2024-03-13 18:00:00,2024-03-13 18:10:00,10.785,0.02244166666666721,0.0037012857594242395,0.0018906750891499282,0.0,0.0009263548601308826,0.0,0.0,0.023683333333333945,0.0021929012345679576,10.791886980663252,0.0007512054941434172,0.34256239282541995,2.7407203622973717,0.0009351851851853083,0.0009259259259260706,0.0,9.259259259237678e-06,0.002114718582389226,-0.9350162426854147,-0.3546048870425359,S0.75_T2.0_H12,2.6666666666666843,TARGET,10.829883333333335,2024-03-14 09:30:00-04:00,0.75,2.0,12,0.32083178611212587,10.7904,TIME,LONG,train
OKLO,2024-03-13 18:35:00,2024-03-13 18:45:00,10.7904,0.018508333333333866,0.0021226215383938108,0.0016680571006970134,0.0037012857594242395,0.0018535686493230564,0.0009263548601308826,0.0,0.019375000000000586,0.0017939814814815357,10.793342173694779,0.0006164653986316813,0.3436297447856494,3.32534730129811,9.259259259402157e-06,0.0,0.0,9.259259259402157e-06,0.002004929669646767,-0.9797906520422678,0.2000256937760442,S0.75_T2.0_H6,2.666666666666688,TARGET,10.827416666666668,2024-03-14 09:30:00-04:00,0.75,2.0,6,1.33333333333328,10.808908333333333,TARGET,LONG,train
