ts_signal,ts_entry,entry_price,ret_1,ret_3,ret_6,atr_14,atr_pct_14,vwap_session,vwap_dist,vwap_dist_atr,vol_ratio_20,range_pct,body_pct,upper_wick_pct,lower_wick_pct,rv_12,tod_sin,tod_cos,best_param_id,best_R,best_exit_reason,best_exit_price,best_exit_ts,best_stop_atr,best_target_atr,best_hold_bars,symbol,side,split,ts_ny,regime_id,regime_pmax
2025-10-27 13:30:00,2025-10-27 13:35:00+00:00,442.63,0.020677171013003,0.0223229382429382,0.0231014146245092,2.1771214285714318,0.0049177145954946,441.9533,0.0017092453298999,0.3475690377530065,3.046942434878952,0.0130331368164261,0.0063020939215286,0.0039527004133632,0.0027783424815342,0.006309197863858,0.0,1.0,S1.0_T2.0_H6,1.9999999999999931,TARGET,447.4585142857143,2025-10-27 10:00:00-04:00,1.0,2.0,6,TSLA,LONG,test,2025-10-27 13:35:00+00:00,4,0.9999999984843262
2025-10-28 13:35:00,2025-10-28 13:40:00+00:00,457.785,0.0117459034348952,0.0098135783577135,0.0137676856833276,2.8870785714285767,0.0063073833295361,454.5961906953497,0.0068464144903115,1.0854603458539185,1.7792847932008489,0.014596814716099,0.0115788783780831,0.0016822144058724,0.0013357219321434,0.0053459314488238,0.0804665687167258,0.99675730813421,S1.0_T2.0_H12,2.000000000000005,TARGET,464.152,2025-10-28 10:15:00-04:00,1.0,2.0,12,TSLA,LONG,test,2025-10-28 13:40:00+00:00,4,0.997134524449317
2025-10-29 13:30:00,2025-10-29 13:35:00+00:00,462.9129,0.0050464137935803,0.0081453370879936,0.0006699443764538,1.3870571428571452,0.0029965804157819,462.7953,0.0001829847908745,0.0610645353986842,2.791042065583037,0.006061830279986,0.0006481161424127,0.0027564379536812,0.002657276183892,0.0022584900400688,0.0,1.0,S0.5_T0.75_H6,-0.9999999999999736,STOP,462.0650857142857,2025-10-29 09:35:00-04:00,0.5,0.75,6,TSLA,LONG,test,2025-10-29 13:35:00+00:00,4,0.9999997407610443
2025-10-29 13:45:00,2025-10-29 13:50:00+00:00,462.4267,0.0032916042766311,-0.0009951372247311,0.0071501998632623,1.959242857142856,0.0042369373122221,461.2467893243889,0.0025362477620133,0.5986040328463492,2.075561641111076,0.0062281097081524,0.0032861928862877,0.0021201523464835,0.0008217644753812,0.0038855512283213,0.2393156642875577,0.970941817426052,S0.75_T1.5_H6,1.999999999999986,TARGET,465.58735,2025-10-29 10:00:00-04:00,0.75,1.5,6,TSLA,LONG,test,2025-10-29 13:50:00+00:00,1,0.9992796410304299
2025-10-31 13:30:00,2025-10-31 13:35:00+00:00,448.3393,0.018698656411639,0.0137564563724903,0.0137564563724903,1.9094928571428595,0.0042592660453985,448.145,0.0003791976623579,0.0890288745328872,3.3244991731679345,0.0075393417574696,0.0034908490681775,0.0032008743851979,0.0008476183040942,0.0057360787833574,0.0,1.0,S0.5_T1.0_H6,2.0,TARGET,450.3352,2025-10-31 09:35:00-04:00,0.5,1.0,6,TSLA,LONG,test,2025-10-31 13:35:00+00:00,4,0.9999999992756052
2025-11-03 19:50:00,2025-11-03 19:55:00+00:00,469.311,0.0035958284143107,0.0052842008805315,0.0067123802420724,1.5092642857142826,0.003216165820497,468.0528353889184,0.0026030923721422,0.8093775375487151,1.583599662018191,0.0045815412048898,0.0036532996472852,0.0004807421841037,0.0004474993735008,0.0019210027045447,-0.9034504346103824,0.4286925614030538,S0.75_T0.75_H6,0.9999999999999768,TARGET,470.45312678571423,2025-11-03 15:15:00-05:00,0.75,0.75,6,TSLA,LONG,test,2025-11-03 19:55:00+00:00,3,0.8792423244128243
2025-11-04 14:35:00,2025-11-04 14:40:00+00:00,451.29,0.004041216975161,-0.0386115625329356,-0.0395170549954558,2.799278571428561,0.0062031124857148,450.7642546706864,0.0011207156011116,0.1806698820459096,2.823107560400855,0.0084428390985441,0.0042324993906086,0.0005096727014869,0.0037006670064485,0.0120984380587953,0.0804665687167258,0.99675730813421,S0.5_T2.0_H6,4.000000000000005,TARGET,457.1585571428572,2025-11-04 09:55:00-05:00,0.5,2.0,6,TSLA,LONG,test,2025-11-04 14:40:00+00:00,4,0.9814472683134544
2025-11-19 17:40:00,2025-11-19 17:45:00+00:00,402.89,0.0087743913644785,-0.0001737123575894,0.0015896280141301,5.032007142857148,0.0124885393067211,402.584375496418,0.0008577780348498,0.0686852172045579,1.514001520616154,0.0106467624649442,0.0088104633559179,0.0010421164966619,0.0007941826123644,0.0298695220117649,0.080466568716726,-0.99675730813421,S0.5_T0.75_H6,0.1992935406842095,TIME,403.4,2025-11-19 13:10:00-05:00,0.5,0.75,6,TSLA,LONG,test,2025-11-19 17:45:00+00:00,5,1.0
2025-11-21 14:30:00,2025-11-21 14:35:00+00:00,400.29,0.0133283177277785,0.0079514856799682,0.0017773871595109,2.662149999999997,0.0066490417876972,400.06033333333335,0.0008009038057915,0.1204540189946567,2.883246721555852,0.0144862018926972,0.0052674827227067,0.0007742625149545,0.008444456655036,0.0049746047314939,0.0,1.0,S1.0_T0.75_H6,-1.0,STOP,397.47427142857146,2025-11-21 09:45:00-05:00,1.0,0.75,6,TSLA,LONG,test,2025-11-21 14:35:00+00:00,4,0.9999856999783506
2025-11-24 14:30:00,2025-11-24 14:35:00+00:00,409.39,0.0454493087789549,0.0361116501324191,0.0329384289285323,2.9228214285714307,0.007139454868393,406.7466666666666,0.0064567608718663,0.9043772936293748,4.300488199233618,0.0211778499719094,0.0176359950169764,0.0009037836781553,0.0026380712767777,0.0137337918723765,0.0,1.0,S0.75_T0.75_H6,-0.9999999999999968,STOP,407.1087517857143,2025-11-24 09:40:00-05:00,0.75,0.75,6,TSLA,LONG,test,2025-11-24 14:35:00+00:00,4,0.9789794845297836
2025-11-24 14:50:00,2025-11-24 14:55:00+00:00,409.95,0.0057728689467302,0.0020264915681975,0.0442078839236393,3.5723785714285725,0.0087133309871669,408.234413319101,0.0042820231734895,0.4914335493275988,1.9159552364999335,0.0142442498597526,0.0057806287958242,0.0041708334349617,0.0042927876289665,0.0137721006033856,0.3166679938014725,0.9485364419471456,S0.5_T2.0_H12,3.999999999999991,TARGET,417.2965857142857,2025-11-24 10:40:00-05:00,0.5,2.0,12,TSLA,LONG,test,2025-11-24 14:55:00+00:00,6,0.9999864248857402
2025-11-25 14:50:00,2025-11-25 14:55:00+00:00,411.77,0.0094576166606925,-0.0051480698365174,-0.0183274763301874,2.482307142857134,0.0060294794445139,411.5269694580837,0.0004083860651154,0.0677315627117682,1.7327194866629645,0.0123149388953135,0.0094127911651122,0.0016150301521684,0.0012871175780328,0.0052462613586556,0.3166679938014725,0.9485364419471456,S0.75_T0.75_H6,-0.9999999999999948,STOP,409.7979125,2025-11-25 10:00:00-05:00,0.75,0.75,6,TSLA,LONG,test,2025-11-25 14:55:00+00:00,6,0.9964144869728486
2025-11-26 14:40:00,2025-11-26 14:45:00+00:00,421.4837,0.0039222728123378,0.0052092742769852,0.0086613635892453,1.660821428571418,0.0039402643619725,421.1436012814177,0.0008455485612865,0.2145918353719977,2.032224015972404,0.0063938315539738,0.0038225385527876,5.931198102011213e-05,0.0025119810201661,0.0024018006620904,0.1604112808577602,0.9870502626379128,S0.5_T1.0_H6,2.0000000000000187,TARGET,423.2065571428572,2025-11-26 09:45:00-05:00,0.5,1.0,6,TSLA,LONG,test,2025-11-26 14:45:00+00:00,4,0.9730976470024436
2025-12-01 14:50:00,2025-12-01 14:55:00+00:00,428.63,0.005203067144331,0.0028883418457266,-0.0035409107237899,1.2018785714285798,0.0028038725612151,427.76737761902285,0.0020579106728857,0.733952998203992,2.423038580778304,0.0055523218853633,0.0052828709703382,2.449553772962741e-05,0.0002449553772954,0.0021186744698269,0.3166679938014725,0.9485364419471456,S0.75_T2.0_H6,2.6666666666666585,TARGET,431.1994714285714,2025-12-01 10:10:00-05:00,0.75,2.0,6,TSLA,LONG,test,2025-12-01 14:55:00+00:00,0,0.999999928603552
2025-12-02 14:35:00,2025-12-02 14:40:00+00:00,431.9779,0.0039945416430838,0.0054546644848784,0.0055128530741123,1.2184785714285746,0.0028205522486772,431.0442051502504,0.0022124880781239,0.7844166259148638,2.6634197905753894,0.0093981481481481,0.0040972222222221,0.0034722222222222,0.0018287037037037,0.0012527085199424,0.0804665687167258,0.99675730813421,S0.5_T0.75_H6,-0.999999999999994,STOP,431.2911607142857,2025-12-02 09:40:00-05:00,0.5,0.75,6,TSLA,LONG,test,2025-12-02 14:40:00+00:00,3,0.7987298801419352
2025-12-02 15:00:00,2025-12-02 15:05:00+00:00,431.3475,0.0055366976946529,0.0038605512641628,0.0024655956228087,1.80705,0.0041893865628042,430.2745477101102,0.0024700985067227,0.5896086383275376,1.514099077566826,0.0060740946816896,0.0055408726294801,0.0004173042147725,0.0001159178374368,0.0028759668492991,0.4647231720437685,0.8854560256532099,S0.5_T2.0_H6,3.999999999999985,TARGET,435.4730285714286,2025-12-02 10:05:00-05:00,0.5,2.0,6,TSLA,LONG,test,2025-12-02 15:05:00+00:00,1,0.9999953844439939
2025-12-03 14:40:00,2025-12-03 14:45:00+00:00,436.54,0.0064804665000489,0.0174224585083025,0.0168748357018572,1.887885714285728,0.0043245588059594,435.24088826212574,0.0029985386272548,0.6933744601004629,3.0913591361826347,0.0112472823839841,0.006390792896757,0.0046961412658668,0.0001603482213602,0.0049883248254138,0.1604112808577602,0.9870502626379128,S0.5_T2.0_H6,4.000000000000008,TARGET,440.4664714285715,2025-12-03 10:00:00-05:00,0.5,2.0,6,TSLA,LONG,test,2025-12-03 14:45:00+00:00,4,0.9992674980860111
2025-12-04 14:35:00,2025-12-04 14:40:00+00:00,449.895,0.0083967897391685,0.0070752381799181,0.0070976228151055,1.6529285714285729,0.0036738930533717,448.2743709624352,0.0036398874392431,0.9907439836613146,2.6731787601105896,0.0123579722256796,0.008383861732961,0.0035073525489429,0.0004667579437756,0.002736965082709,0.0804665687167258,0.99675730813421,S0.5_T2.0_H6,4.000000000000009,TARGET,453.3937142857143,2025-12-04 09:45:00-05:00,0.5,2.0,6,TSLA,LONG,test,2025-12-04 14:40:00+00:00,4,0.995682817162408
2025-12-05 18:25:00,2025-12-05 18:30:00+00:00,455.279,0.0017036621857449,0.0019237011335264,0.0014018475117411,0.6999714285714244,0.0015374188507795,455.2763741842699,2.9927772914205382e-05,0.0194662455836484,1.6612423473343858,0.0023721144764874,0.0017131937885743,0.0005271365503304,0.0001317841375826,0.0007914936255701,-0.6007422642379786,-0.7994427634035014,S1.0_T0.75_H6,-0.999999999999982,STOP,454.59974285714287,2025-12-05 13:40:00-05:00,1.0,0.75,6,TSLA,LONG,test,2025-12-05 18:30:00+00:00,0,0.9999999766445138
2025-12-08 14:40:00,2025-12-08 14:45:00+00:00,446.71,0.0058965956774794,-0.0183768187290293,-0.0186625298770042,1.5167785714285742,0.00339585401613,446.15028469118914,0.0011322254907823,0.3334140647402189,2.1386224098477595,0.0064926923628026,0.0057673019057172,0.0002104527869322,0.0005149376701532,0.0059768892873212,0.1604112808577602,0.9870502626379128,S1.0_T0.75_H6,0.7500000000000018,TARGET,447.97132857142856,2025-12-08 09:45:00-05:00,1.0,0.75,6,TSLA,LONG,test,2025-12-08 14:45:00+00:00,4,0.9999946625388084
2025-12-10 14:30:00,2025-12-10 14:35:00+00:00,449.4,0.0092782672601358,0.0051762721555803,0.0058583228811227,1.1118785714285764,0.0024743603601312,447.79,0.0034938579312801,1.4120246943718548,3.827050922315328,0.0121728680790458,0.0074773010503827,0.0008456471426028,0.0038499198860602,0.0031859426307596,0.0,1.0,S0.5_T0.75_H6,-0.9999999999999584,STOP,448.7160535714286,2025-12-10 09:35:00-05:00,0.5,0.75,6,TSLA,LONG,test,2025-12-10 14:35:00+00:00,4,0.9999999227744419
2025-12-10 19:05:00,2025-12-10 19:10:00+00:00,448.62,0.0063749076022955,0.0082050835517466,0.0073401044763655,1.0951000000000022,0.0024413107861529,445.9550819734012,0.0058305618104596,2.388291504519012,3.659769455723706,0.0078248569622835,0.0063100449093285,0.0011358303767189,0.0003789816762359,0.0020400118675789,-0.9605181116313724,-0.2782174639164524,S1.0_T1.0_H6,1.000000000000007,TARGET,449.7786714285714,2025-12-10 14:15:00-05:00,1.0,1.0,6,TSLA,LONG,test,2025-12-10 19:10:00+00:00,3,0.9999900679745407
2025-12-16 14:35:00,2025-12-16 14:40:00+00:00,472.24,0.0108957518758149,-0.0127746181012413,-0.0146229799037852,2.436692857142869,0.0051593367969181,469.55698865314696,0.005782512676276,1.1207860436112922,2.3665087439234256,0.0129158479571785,0.0109668253269192,0.0010417372450707,0.0009072853851886,0.0064206082655951,0.0804665687167258,0.99675730813421,S0.75_T0.75_H6,-0.9999999999999896,STOP,470.3533160714286,2025-12-16 09:45:00-05:00,0.75,0.75,6,TSLA,LONG,test,2025-12-16 14:40:00+00:00,4,0.9999984206506174
2025-12-18 14:40:00,2025-12-18 14:45:00+00:00,478.8,0.0072841930881683,0.0245255421698007,0.0198916036855388,3.1256142857142817,0.0065280164697457,477.1039441645031,0.0035423054208374,0.5426312015685493,1.7682754540672443,0.0120718462823725,0.0071010860484545,0.0017752715121135,0.0031954887218044,0.00636753266878,0.1604112808577602,0.9870502626379128,S1.0_T0.75_H6,-0.999999999999995,STOP,475.5308142857143,2025-12-18 09:45:00-05:00,1.0,0.75,6,TSLA,LONG,test,2025-12-18 14:45:00+00:00,6,0.5815835225595691
2025-12-22 14:30:00,2025-12-22 14:35:00+00:00,494.54,0.0279984459181092,0.0248114564075507,0.0245111564472925,2.13521428571428,0.0043173582556676,492.9283333333334,0.0033093054839436,0.7665116693986035,5.787565850565032,0.0181169310404092,0.0096347295097711,0.0040945072942888,0.0043876942363491,0.0082800623341969,0.0,1.0,S1.0_T1.5_H6,1.5000000000000115,TARGET,497.9525,2025-12-22 09:50:00-05:00,1.0,1.5,6,TSLA,LONG,test,2025-12-22 14:35:00+00:00,4,0.9999999989135908
2025-12-29 14:40:00,2025-12-29 14:45:00+00:00,465.71,0.0018234993557918,-0.0201114502295986,-0.0247094490713656,1.87285,0.0040212479749902,465.4959604057482,0.0005207634632992,0.1295029469801689,1.7676754379734287,0.0060548999062778,0.0017788952384223,0.0026227163955738,0.0016532882722816,0.0070615854129668,0.1604112808577602,0.9870502626379128,S0.75_T1.0_H6,1.3333333333333228,TARGET,467.82285,2025-12-29 09:45:00-05:00,0.75,1.0,6,TSLA,LONG,test,2025-12-29 14:45:00+00:00,4,0.9988629816512008
2025-12-30 14:45:00,2025-12-30 14:50:00+00:00,457.5,0.0044191480102519,0.00242939615164,-0.0080330022978306,1.89823571428572,0.0041491481953462,456.5551944606641,0.0020653668476485,0.4977809300629624,1.6998807108188787,0.0071477580004899,0.0043779225403447,0.0,0.0027698354601452,0.0027102635267298,0.2393156642875577,0.970941817426052,S0.5_T2.0_H24,4.000000000000017,TARGET,461.3636285714286,2025-12-30 10:55:00-05:00,0.5,2.0,24,TSLA,LONG,test,2025-12-30 14:50:00+00:00,1,0.9997533269553399
2025-12-31 14:30:00,2025-12-31 14:35:00+00:00,455.03,0.0014082459025513,-0.0015581046976702,-0.0026326072954321,1.1647928571428563,0.0025595882684148,454.74680000000006,0.0007110987662566,0.2778176377160373,2.8912275555590314,0.0086360264258013,0.002328430941674,0.0009229341218414,0.0053846613622859,0.0012827666677766,0.0,1.0,S1.0_T1.0_H6,0.9999999999999968,TARGET,456.3326071428571,2025-12-31 09:35:00-05:00,1.0,1.0,6,TSLA,LONG,test,2025-12-31 14:35:00+00:00,4,0.5692781403174585
2026-01-05 14:30:00,2026-01-05 14:35:00+00:00,450.74,0.0285089275591149,0.026616175320787,0.0258304817350121,1.859671428571419,0.0041255484866909,448.8131666666666,0.0043399860312939,1.0519779479734208,3.5402761711726694,0.0144863394706164,0.0065876240517603,0.0007331906883674,0.0071655247304886,0.0084640210915522,0.0,1.0,S0.75_T2.0_H12,2.6666666666666834,TARGET,454.6064857142857,2026-01-05 10:10:00-05:00,0.75,2.0,12,TSLA,LONG,test,2026-01-05 14:35:00+00:00,4,0.999999966923984
