symbol,ts_signal,ts_entry,entry_price,ret_1,ret_3,ret_6,ret_12,atr_14,atr_pct_14,vwap_session,vwap_dist,vwap_dist_atr,vol_ratio_20,range_pct,body_pct,upper_wick_pct,lower_wick_pct,rv_12,tod_sin,tod_cos,best_param_id,best_R,best_exit_reason,best_exit_price,best_exit_ts,best_stop_atr,best_target_atr,best_hold_bars,side,split,session_date,macro_regime_id,regime_label
TSLA,2025-06-02 17:30:00,2025-06-02 21:35:00+00:00,339.82,0.0048079142833935,0.0052811050768323,0.0049114056382616,0.0051264062017289,0.8998285714285755,0.002647800645682,338.8458100168045,0.0029254648752221,1.1048659875481754,1.6853016537515977,0.0051159369114878,0.0046933851224104,0.0001430084745763,0.000279543314501,0.0017655641988407,-0.6631226582407953,-0.748510748171101,S1.0_T0.75_H3,0.7499999999999778,TARGET,340.53829107142855,2025-06-02 13:35:00-04:00,1.0,0.75,3,LONG,train,2025-06-02,1,Trending
COIN,2025-06-02 18:20:00,2025-06-02 22:25:00+00:00,245.605,0.0002239618866952,0.0006312938678873,-0.0009563634502804,-0.0033128428245733,0.4424214285714275,0.0018013535089734,245.5981579503133,2.785794135593636e-05,0.0154650051848022,2.200669173949077,0.00105861037031,0.0001832210256305,0.000223936809104,0.0006514525355754,0.0013011655674208,-0.9991889981715696,-0.0402659401094151,S1.0_T0.75_H3,-0.9999999999999728,STOP,245.15715,2025-06-02 14:30:00-04:00,1.0,0.75,3,LONG,train,2025-06-02,0,Flat
COIN,2025-06-02 19:50:00,2025-06-02 23:55:00+00:00,245.87,0.0036265141715482,0.0044024202850025,0.0035040576944679,0.0038310499261112,0.5369571428571415,0.00218399553753,245.47788215593192,0.0015542090786142,0.7116356475581036,2.382108231467638,0.0041893760676807,0.0037419669730741,0.0,0.0004474090946066,0.0014365655608427,-0.1604112808577606,0.9870502626379128,S0.5_T2.0_H3,3.999999999999986,TARGET,247.01105714285717,2025-06-03 09:30:00-04:00,0.5,2.0,3,LONG,train,2025-06-02,0,Flat
COIN,2025-06-03 13:35:00,2025-06-03 17:40:00+00:00,247.93,0.0028475951021067,0.0083841800189662,0.0127866003039686,0.0118882377134341,0.8070785714285701,0.003255267903959,247.59364835971436,0.0013566395365049,0.4167520390119029,1.5052440935436258,0.0051220102448271,0.0031601661759367,0.0,0.0019618440688904,0.0017917498420249,0.0804665687167258,0.99675730813421,S0.5_T2.0_H6,4.0,TARGET,249.71752857142857,2025-06-03 09:55:00-04:00,0.5,2.0,6,LONG,train,2025-06-03,0,Flat
PLTR,2025-06-03 13:40:00,2025-06-03 17:45:00+00:00,132.38,0.0032259849670634,0.0028744346568972,0.0044664898811585,0.0078865958180166,0.5437785714285671,0.0041073991345914,132.29539633849816,0.0007145831369576,0.1739746037680137,2.1489335673159577,0.0060427524737518,0.0031724450487195,0.0008308784651409,0.0020394289598913,0.0018102069539738,0.1604112808577602,0.9870502626379128,S0.75_T0.75_H3,0.999999999999991,TARGET,132.82211964285713,2025-06-03 09:45:00-04:00,0.75,0.75,3,LONG,train,2025-06-03,3,Range Bound
TSLA,2025-06-03 13:40:00,2025-06-03 17:45:00+00:00,345.9,0.0038524530969364,0.0092942870625599,0.0127141930600638,0.0132416650333222,1.4826928571428653,0.0042864783380828,345.54893199307094,0.0010149407543481,0.2367772969551798,1.7499805311584182,0.0052327262214512,0.0038161318300086,0.000318010985834,0.0010985834056085,0.0026248524085051,0.1604112808577602,0.9870502626379128,S0.75_T2.0_H6,2.6666666666666736,TARGET,349.08394285714286,2025-06-03 10:00:00-04:00,0.75,2.0,6,LONG,train,2025-06-03,3,Range Bound
NVDA,2025-06-03 13:40:00,2025-06-03 17:45:00+00:00,138.965,0.0058080118466271,0.0115800671613766,0.0116164658728664,0.0090826423537249,0.4435571428571429,0.0031917474480617,138.4835965288185,0.0035000609569078,1.096597087916012,2.02346860022002,0.0060790098582427,0.005756638123336,7.195797654163421e-05,0.000250413758365,0.0027619345677216,0.1604112808577602,0.9870502626379128,S0.5_T2.0_H3,3.999999999999983,TARGET,139.91018571428572,2025-06-03 09:55:00-04:00,0.5,2.0,3,LONG,train,2025-06-03,3,Range Bound
OKLO,2025-06-04 13:30:00,2025-06-04 17:35:00+00:00,50.84,0.0201926590355244,0.0171426526579631,0.0177739626471146,0.0172829093278986,0.4574214285714276,0.0090087922909193,50.251666666666665,0.0103069095683571,1.1440944840904268,5.485386202656168,0.0468734613490891,0.0265878877400295,0.0079763663220088,0.0123092072870507,0.0071310564943521,0.0,1.0,S1.0_T0.75_H3,-0.9999999999999952,STOP,50.31335000000001,2025-06-04 09:35:00-04:00,1.0,0.75,3,LONG,train,2025-06-04,3,Range Bound
NVDA,2025-06-04 13:35:00,2025-06-04 17:40:00+00:00,141.8,0.0012595326576878,0.0040552183499414,0.0047259588279265,0.0029908900853929,0.3290785714285675,0.0023205842486773,141.80238495197915,4.312187224926294e-05,0.0185823342866522,2.3002674829366136,0.0054756943342606,0.0013292574140478,0.0033954241106843,0.0007510128095284,0.0010384038482862,0.0804665687167258,0.99675730813421,S0.5_T0.75_H3,-1.0000000000000313,STOP,141.606175,2025-06-04 09:40:00-04:00,0.5,0.75,3,LONG,train,2025-06-04,3,Range Bound
TSLA,2025-06-04 17:40:00,2025-06-04 21:45:00+00:00,334.34,0.004021773491543,0.0045711110940298,0.0032950932968381,0.0044058876289178,0.9274357142857153,0.0027735980449958,333.5851082439958,0.0023772108260188,0.8570855572629954,1.5201845404876988,0.0055625336443567,0.0040672289012501,0.0001196243794485,0.001375680363658,0.001426742066109,-0.7746049618276547,-0.6324453755953771,S0.75_T1.5_H3,1.4217238574815867,TIME,335.367,2025-06-04 13:55:00-04:00,0.75,1.5,3,LONG,train,2025-06-04,3,Range Bound
OKLO,2025-06-05 13:40:00,2025-06-05 17:45:00+00:00,49.34,0.0157354835588097,0.0052856394658002,0.0076324595827499,0.0169720871788826,0.4547928571428577,0.0092212663654269,48.99884370076313,0.0065116848993687,0.706159505790101,3.2369854644574643,0.0271695052716951,0.0150040551500405,0.0107461476074614,0.001419302514193,0.0062230467811052,0.1604112808577602,0.9870502626379128,S0.75_T0.75_H3,-0.9999999999999988,STOP,48.93385892857143,2025-06-05 09:45:00-04:00,0.75,0.75,3,LONG,train,2025-06-05,3,Range Bound
OKLO,2025-06-05 13:50:00,2025-06-05 17:55:00+00:00,48.95,0.0028641590774632,0.0082051742391855,-0.0003063881962384,0.0090294067193943,0.556521428571429,0.0113691813804173,48.94868974718191,2.6767166866061604e-05,0.0023543618463301,1.687039606168342,0.0138917262512768,0.0024514811031665,0.0091930541368742,0.0022471910112359,0.0070649692633454,0.3166679938014725,0.9485364419471456,S0.5_T0.75_H3,-0.9999999999999902,STOP,48.66561785714286,2025-06-05 09:55:00-04:00,0.5,0.75,3,LONG,train,2025-06-05,3,Range Bound
OKLO,2025-06-06 13:30:00,2025-06-06 17:35:00+00:00,47.275,0.0014841516558701,0.0004238186119808,0.0082970372795304,0.0095796368568138,0.4749071428571442,0.0100615920096852,46.98663333333334,0.0045204802259886,0.4492808117877644,2.3154006097831616,0.0203368644067797,0.0021186440677966,0.0033877118644067,0.0148305084745763,0.0067156040206076,0.0,1.0,S0.5_T2.0_H3,3.999999999999996,TARGET,48.29512857142857,2025-06-06 09:45:00-04:00,0.5,2.0,3,LONG,train,2025-06-06,1,Trending
COIN,2025-06-06 13:30:00,2025-06-06 17:35:00+00:00,252.54,0.0334592477565382,0.031577548763941,0.0336639937698247,0.0279265325212623,2.1874785714285747,0.0086619092873547,252.11333333333332,0.001689501333122,0.1950495297368811,2.0600161872069305,0.0130672368733666,0.0069691929991288,0.0039993664370001,0.0020986774372376,0.0109670587986858,0.0,1.0,S0.5_T1.5_H3,3.000000000000015,TARGET,256.0807178571429,2025-06-06 09:35:00-04:00,0.5,1.5,3,LONG,train,2025-06-06,3,Range Bound
PLTR,2025-06-06 13:35:00,2025-06-06 17:40:00+00:00,123.7,0.0097441925344025,0.0319912303502087,0.0188080529360192,0.0159391439001364,1.28785,0.0104102336108641,123.03895774356194,0.0054243170029751,0.521056222726293,1.6060331054891517,0.0157626707622666,0.0097001050844716,0.0037992078247515,0.0022633578530434,0.0090264025903616,0.0804665687167258,0.99675730813421,S0.5_T1.5_H6,2.131244783437188,TIME,125.15,2025-06-06 10:05:00-04:00,0.5,1.5,6,LONG,train,2025-06-06,1,Trending
